
Predictions were generated on 22-Dec-2025 at 21:55:38 using FAST.Farm, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	7.50368071	9.00463009	9.45738506	-1.18298960	0.211488113	0.562663496	0.663882911	0.744898558	-0.219659982E-3	-0.916622184E-6	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    3.0000	7.53676414	8.96869659	9.62475586	1.12029505	-0.716930747	0.478268325	0.733898342	0.748489141	-0.214458778E-3	-0.894918060E-6	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    6.0000	7.56694555	8.78279114	9.18836498	3.38816118	-2.10060430	0.462204754	0.775602579	0.798851073	-0.232818333E-3	-0.971530881E-6	0.996194720	0.00000000	-0.871557444E-1	436.193695	-1.51724958	89.4631729	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-1.26037550	-2.56148624	-4.00149918	-3.76701021	-0.663049296E-1	-0.616748584E-4	-0.124761944E-15	0.00000000	0.796201751E-1	-0.106588081E-1	-0.717750043E-1	-0.190715522	-0.147750333	-0.795532987E-1
    9.0000	7.54634571	8.58844376	9.08260727	6.14873314	-1.52061880	0.445710450	0.729242265	0.887162089	-0.249264907E-3	-0.104016101E-5	0.996194720	0.00000000	-0.871557444E-1	436.486664	-2.61078167	92.8120346	-1.77690160	-2.68182254	-3.44308829	-3.23735523	-0.114311658	-0.133078167E-3	-0.904806682E-16	0.00000000	0.559154823E-1	-0.667032646E-2	-0.740980878E-1	-0.180020347	-0.135865897	-0.731474236E-1	-1.75159550	-2.71702886	-3.92841816	-3.54939485	-0.111399822	-0.201096977E-3	-0.104587691E-15	0.00000000	0.627754256E-1	0.118275657E-1	-0.874836966E-1	-0.150576502	-0.112492546	-0.605579987E-1
   12.0000	7.38558674	8.45842838	8.66631508	2.31625247	-4.84763479	0.453719527	0.771168172	0.894841790	-0.261023379E-3	-0.108922802E-5	0.996194720	0.00000000	-0.871557444E-1	436.546173	-2.39825487	93.4923325	-2.02800250	-2.73052430	-3.42192507	-3.11713576	-0.143233612	-0.309575757E-3	-0.804275121E-16	0.00000000	0.482524298E-1	0.265889172E-2	-0.815304741E-1	-0.146873832	-0.107630126	-0.579284132E-1	-1.75513148	-2.71913600	-3.92778778	-3.54640031	-0.112173133	-0.215262422E-3	-0.105137032E-15	0.00000000	0.625149757E-1	0.118876807E-1	-0.875457004E-1	-0.149409354	-0.111504227	-0.600247271E-1
   15.0000	7.27831078	8.44294167	8.52354908	0.259983510	-3.85831928	0.456069112	0.772603929	0.945813835	-0.260428176E-3	-0.108674442E-5	0.996074677	0.629289789E-4	-0.885168612E-1	436.649841	-3.40838194	93.6759796	-2.01022434	-2.72785616	-3.46545839	-3.15514684	-0.142327294	-0.311854790E-3	-0.717865187E-16	0.00000000	0.505386516E-1	0.331558706E-2	-0.869521424E-1	-0.157569185	-0.116391830	-0.626461133E-1	-1.68363833	-2.68605280	-3.94575834	-3.81451964	-0.118795440	-0.209155987E-3	-0.909080228E-16	0.00000000	0.614127330E-1	0.155168297E-1	-0.101930201	-0.190600291	-0.144935369	-0.780268312E-1
   18.0000	7.32238197	8.26499748	8.38421059	1.43261087	-4.80790186	0.425205201	0.806571603	0.970309198	-0.265886600E-3	-0.110952192E-5	0.995988667	0.772991043E-4	-0.894795954E-1	436.722839	-4.51744127	93.7991714	-1.96995795	-2.73836231	-3.66068435	-3.29270363	-0.142176658	-0.301009713E-3	-0.278355110E-16	0.00000000	0.587488078E-1	0.919072330E-2	-0.113660902	-0.195238143	-0.147214636	-0.792441294E-1	-1.75896728	-2.76922202	-4.03901958	-4.01626825	-0.178320736	-0.275441329E-3	-0.807366725E-16	0.00000000	0.631133318E-1	0.164883118E-1	-0.100978412	-0.225976795	-0.170222357	-0.916377455E-1
   21.0000	7.33411837	8.11528683	8.07253170	4.48193884	-3.80614161	0.444939017	0.777660787	0.965795517	-0.275306578E-3	-0.114883062E-5	0.995919466	0.976376759E-4	-0.902465582E-1	436.839752	-5.63347530	94.5262756	-1.85596621	-2.66098619	-3.69668889	-3.49355364	-0.200948343	-0.442363351E-3	-0.614742235E-16	0.00000000	0.602590069E-1	0.154347513E-1	-0.107311465	-0.211976483	-0.157879353	-0.849747732E-1	-1.75099826	-2.70725155	-3.91692257	-4.13217115	-0.234302774	-0.425470964E-3	-0.857384285E-16	0.00000000	0.600615554E-1	0.197118800E-1	-0.950817093E-1	-0.251634508	-0.188987121	-0.101730995
   24.0000	7.28749943	8.13401413	7.96611977	1.96936214	-4.70333529	0.404595792	0.814039946	0.911109746	-0.257691165E-3	-0.107532310E-5	0.995881677	0.130176399E-3	-0.906622410E-1	436.858185	-6.62401724	94.4198380	-1.66262209	-2.47081375	-3.56369925	-3.77682734	-0.281082690	-0.624011736E-3	-0.488845412E-16	0.00000000	0.564161055E-1	0.240876973E-1	-0.992407575E-1	-0.260330230	-0.195418313	-0.105174780	-1.68008125	-2.60935283	-3.85975885	-4.21477127	-0.295424283	-0.568540825E-3	-0.954791023E-16	0.00000000	0.599552728E-1	0.251184013E-1	-0.907733738E-1	-0.274853051	-0.206015453	-0.110890068
