
Predictions were generated on 22-Dec-2025 at 21:57:15 using FAST.Farm, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	 7.505E+00	 9.005E+00	 9.457E+00	 6.148E-01	 2.115E-01	 8.021E-01	 8.021E-01	 8.021E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    3.0000	 7.538E+00	 8.969E+00	 9.625E+00	-8.759E-01	-7.169E-01	 7.760E-01	 7.760E-01	 7.760E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    6.0000	 7.567E+00	 8.783E+00	 9.188E+00	 6.940E+00	-2.101E+00	 7.575E-01	 7.575E-01	 7.575E-01	 0.000E+00	 0.000E+00	 9.962E-01	 0.000E+00	-8.716E-02	 4.362E+02	-1.517E+00	 8.946E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.260E+00	-2.561E+00	-4.001E+00	-3.767E+00	-6.630E-02	-6.167E-05	-1.248E-16	 0.000E+00	 7.962E-02	-1.066E-02	-7.178E-02	-1.907E-01	-1.478E-01	-7.955E-02
    9.0000	 7.548E+00	 8.588E+00	 9.083E+00	 9.398E-01	-1.521E+00	 7.782E-01	 7.782E-01	 7.782E-01	 0.000E+00	 0.000E+00	 9.962E-01	 0.000E+00	-8.716E-02	 4.365E+02	-2.611E+00	 9.281E+01	-3.664E+00	-3.664E+00	-3.664E+00	-3.473E+00	-2.603E-01	-4.448E-04	-3.204E-19	 0.000E+00	-5.394E-07	-2.625E-05	-3.310E-02	-1.832E-01	-1.287E-01	-6.924E-02	-1.752E+00	-2.717E+00	-3.928E+00	-3.549E+00	-1.114E-01	-2.011E-04	-1.046E-16	 0.000E+00	 6.278E-02	 1.183E-02	-8.748E-02	-1.506E-01	-1.125E-01	-6.056E-02
   12.0000	 7.382E+00	 8.458E+00	 8.666E+00	 1.033E+01	-4.848E+00	 7.685E-01	 7.685E-01	 7.685E-01	 0.000E+00	 0.000E+00	 9.962E-01	 0.000E+00	-8.716E-02	 4.365E+02	-2.398E+00	 9.349E+01	-3.664E+00	-3.664E+00	-3.664E+00	-3.375E+00	-3.016E-01	-9.535E-04	-1.107E-18	 0.000E+00	-1.645E-06	-7.112E-05	-4.548E-02	-1.541E-01	-1.047E-01	-5.632E-02	-1.755E+00	-2.719E+00	-3.928E+00	-3.546E+00	-1.122E-01	-2.153E-04	-1.051E-16	 0.000E+00	 6.251E-02	 1.189E-02	-8.755E-02	-1.494E-01	-1.115E-01	-6.002E-02
   15.0000	 7.284E+00	 8.443E+00	 8.524E+00	-9.790E-01	-3.858E+00	 7.874E-01	 7.874E-01	 7.874E-01	 0.000E+00	 0.000E+00	 9.961E-01	 6.293E-05	-8.852E-02	 4.366E+02	-3.408E+00	 9.368E+01	-3.665E+00	-3.665E+00	-3.664E+00	-3.374E+00	-3.003E-01	-9.602E-04	-1.252E-18	 0.000E+00	-1.687E-06	-7.231E-05	-4.580E-02	-1.543E-01	-1.050E-01	-5.647E-02	-1.684E+00	-2.686E+00	-3.946E+00	-3.815E+00	-1.188E-01	-2.092E-04	-9.091E-17	 0.000E+00	 6.141E-02	 1.552E-02	-1.019E-01	-1.906E-01	-1.449E-01	-7.803E-02
   18.0000	 7.324E+00	 8.265E+00	 8.384E+00	 5.549E+00	-4.808E+00	 7.723E-01	 7.723E-01	 7.723E-01	 0.000E+00	 0.000E+00	 9.960E-01	 7.730E-05	-8.948E-02	 4.367E+02	-4.517E+00	 9.380E+01	-3.667E+00	-3.667E+00	-3.666E+00	-3.280E+00	-2.301E-01	-7.191E-04	-1.859E-18	 0.000E+00	-3.211E-06	-1.234E-04	-6.012E-02	-1.508E-01	-1.052E-01	-5.660E-02	-1.759E+00	-2.769E+00	-4.039E+00	-4.016E+00	-1.783E-01	-2.754E-04	-8.074E-17	 0.000E+00	 6.311E-02	 1.649E-02	-1.010E-01	-2.260E-01	-1.702E-01	-9.164E-02
   21.0000	 7.337E+00	 8.115E+00	 8.073E+00	-1.210E+00	-3.806E+00	 7.813E-01	 7.813E-01	 7.813E-01	 0.000E+00	 0.000E+00	 9.959E-01	 9.764E-05	-9.025E-02	 4.368E+02	-5.633E+00	 9.453E+01	-3.602E+00	-3.602E+00	-3.602E+00	-3.194E+00	-1.833E-01	-4.780E-04	-9.587E-19	 0.000E+00	-2.815E-06	-1.158E-04	-6.227E-02	-1.386E-01	-9.786E-02	-5.265E-02	-1.751E+00	-2.707E+00	-3.917E+00	-4.132E+00	-2.343E-01	-4.255E-04	-8.574E-17	 0.000E+00	 6.006E-02	 1.971E-02	-9.508E-02	-2.516E-01	-1.890E-01	-1.017E-01
   24.0000	 7.290E+00	 8.134E+00	 7.966E+00	 2.419E+00	-4.703E+00	 7.785E-01	 7.785E-01	 7.785E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.302E-04	-9.066E-02	 4.369E+02	-6.624E+00	 9.442E+01	-3.675E+00	-3.675E+00	-3.674E+00	-3.307E+00	-2.210E-01	-5.732E-04	-8.660E-19	 0.000E+00	-2.498E-06	-1.021E-04	-5.646E-02	-1.457E-01	-1.018E-01	-5.477E-02	-1.680E+00	-2.609E+00	-3.860E+00	-4.215E+00	-2.954E-01	-5.685E-04	-9.548E-17	 0.000E+00	 5.996E-02	 2.512E-02	-9.077E-02	-2.749E-01	-2.060E-01	-1.109E-01
   27.0000	 7.236E+00	 8.033E+00	 7.730E+00	 4.083E+00	-5.460E+00	 7.992E-01	 7.992E-01	 7.992E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.471E-04	-9.077E-02	 4.368E+02	-7.556E+00	 9.365E+01	-3.575E+00	-3.575E+00	-3.574E+00	-3.196E+00	-2.043E-01	-5.641E-04	-6.856E-19	 0.000E+00	-2.584E-06	-1.082E-04	-5.841E-02	-1.405E-01	-9.828E-02	-5.287E-02	-1.642E+00	-2.562E+00	-3.791E+00	-4.351E+00	-3.519E-01	-7.828E-04	-1.088E-16	 0.000E+00	 5.838E-02	 2.648E-02	-8.942E-02	-3.127E-01	-2.371E-01	-1.276E-01
