
Predictions were generated on 22-Dec-2025 at 21:56:19 using FAST.Farm, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	RtSkewT1            	RtSkewT2            	AziSkewT1           	AziSkewT2           	RtSkewFiltT1        	RtSkewFiltT2        	AziSkewFiltT1       	AziSkewFiltT2       	RtGamCurlT1         	RtGamCurlT2         	RtVAmbFiltT1        	RtVAmbFiltT2        	RtCtAvgT1           	RtCtAvgT2           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(m^2/s)      	(m^2/s)      	(m/s)        	(m/s)        	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          
    0.0000	7.54785156	9.04022026	9.48126888	-0.855811179	0.227506950	2.90164614	1.11999154	72.8598785	101.718765	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.632651865	0.342171937	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    2.0000	7.55929470	8.99551487	9.45563126	2.40196538	-0.546506755E-1	4.20627260	0.744723201	124.774750	-85.7918701	2.90164614	1.11999154	72.8598785	101.718765	15.1948023	3.80480838	7.54785156	9.04022026	0.632651865	0.342171937	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    4.0000	7.55338812	8.96384048	9.38342571	2.42436671	-0.977421999	3.44669247	1.32782900	134.664993	-42.6044159	3.17581630	0.898415029	84.3966446	140.050262	16.6489906	3.06000328	7.55039454	9.03028488	0.633355379	0.343407124	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    6.0000	7.57106638	8.81041431	9.07855988	2.68396831	-2.32645416	3.40045238	2.32808042	142.087280	2.14288831	3.21004415	1.06160700	95.5678253	179.446304	16.8750114	3.61610389	7.55105972	9.01551914	0.635080814	0.344017446	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    8.0000	7.54599476	8.66110611	9.05270863	2.56619596	-1.70016396	3.05564117	1.91179907	147.096588	-27.2231655	3.23138022	1.07904792	105.905853	140.042572	17.1691208	3.71252155	7.55550575	8.96993828	0.641523302	0.349249810	1.00000000	0.00000000	0.00000000	57.9808998	30.8039894	88.7674408
   10.0000	7.55562544	8.56064129	8.80114937	-1.57922602	-3.16632652	1.75791752	3.18239355	-26.0650082	-5.76575994	3.17151856	1.05855489	115.059563	102.870209	16.9710388	3.65885067	7.55339241	8.90130520	0.646221340	0.353566527	1.00000000	0.00000000	0.00000000	57.9808998	31.4953575	88.5248413
   12.0000	7.41944122	8.49770737	8.71781635	-8.38112259	-4.13156843	8.59959412	4.39870739	-13.0370855	-20.1072235	2.78883886	1.33684409	83.6998367	78.7265167	15.0685244	4.69473219	7.55388832	8.82559872	0.652165115	0.362358302	1.00000000	0.00000000	0.00000000	57.9808998	32.0376854	88.4905548
   14.0000	7.34925270	8.48029423	8.72198868	-11.3123693	-4.91784096	11.3180637	5.37155437	1.84138417	-23.7802753	3.66373801	1.79956901	62.1941299	56.7607727	20.0631561	6.35630035	7.52401018	8.75273037	0.664361775	0.367597610	1.00000000	0.283312556E-5	0.00000000	57.9808922	32.6955528	88.4356308
   16.0000	7.31615305	8.46210194	8.42358208	-15.8997631	-3.75126600	16.0297375	4.07627916	7.49416256	-23.0696831	5.12315702	2.42089343	48.7688446	38.8598633	28.4046345	8.60649109	7.48517323	8.69218636	0.677893877	0.372763246	1.00000000	0.139064750E-4	0.00000000	57.9808502	33.5770721	88.4487686
