
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:22.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    0.0000  -0.6754664E+00  -0.2251357E+00  -0.5234782E-01  -0.2658222E+00   0.1105398E+01  -0.2247512E+01  -0.1236555E+01  -0.9120167E+00  -0.1652434E+01   0.1200078E+00   0.5307932E+00  -0.7450780E+00  -0.6222197E+00   0.1683586E+01   0.1803222E+01  -0.6086863E+04  -0.2156356E+04  -0.6902298E+03  -0.2278736E+04   0.1086314E+05
    0.2000  -0.4747061E+00  -0.3486961E+00  -0.1453591E+00  -0.1433069E+00   0.1288644E+01  -0.2051203E+01  -0.1398006E+01  -0.1030273E+01  -0.1372373E+01   0.3800537E+00   0.1486422E+01  -0.6248754E+00  -0.9313570E+00   0.2067110E+01   0.1747219E+01  -0.4098468E+04  -0.3360789E+04  -0.1564714E+04  -0.1233487E+04   0.1256227E+05
    0.4000  -0.2073245E+00  -0.4553606E+00  -0.2461538E+00   0.8589376E-03   0.1424206E+01  -0.1713238E+01  -0.1539656E+01  -0.1182657E+01  -0.1053464E+01   0.5999781E+00   0.2408411E+01  -0.5852213E+00  -0.1112138E+01   0.2156990E+01   0.1428804E+01  -0.1532496E+04  -0.4398577E+04  -0.2486100E+04   0.7761122E+01   0.1378279E+05
    0.6000   0.1128379E+00  -0.5394728E+00  -0.3459580E+00   0.1462175E+00   0.1499107E+01  -0.1250687E+01  -0.1662114E+01  -0.1348788E+01  -0.7401648E+00   0.7470331E+00   0.3163512E+01  -0.5937038E+00  -0.1126233E+01   0.1950397E+01   0.8539519E+00   0.1477783E+04  -0.5203864E+04  -0.3381899E+04   0.1269079E+04   0.1442022E+05
    0.8000   0.4635512E+00  -0.5955590E+00  -0.4345161E+00   0.2729670E+00   0.1503214E+01  -0.6995438E+00  -0.1762174E+01  -0.1504389E+01  -0.4746836E+00   0.7925980E+00   0.3634033E+01  -0.5901078E+00  -0.9657441E+00   0.1486708E+01   0.8060254E-01   0.4727677E+04  -0.5718070E+04  -0.4167576E+04   0.2379132E+04   0.1439656E+05
    1.0000   0.8161178E+00  -0.6182367E+00  -0.5018293E+00   0.3646971E+00   0.1431336E+01  -0.1110989E+00  -0.1831244E+01  -0.1625671E+01  -0.2910189E+00   0.7180728E+00   0.3734882E+01  -0.5053198E+00  -0.6535366E+00   0.8404013E+00  -0.7914675E+00   0.7958104E+04  -0.5890954E+04  -0.4760614E+04   0.3194685E+04   0.1367650E+05
    1.2000   0.1138338E+01  -0.6026622E+00  -0.5398664E+00   0.4105549E+00   0.1284708E+01   0.4540147E+00  -0.1855934E+01  -0.1693534E+01  -0.2103716E+00   0.5191222E+00   0.3426047E+01  -0.2833650E+00  -0.2381723E+00   0.1091668E+00  -0.1639242E+01   0.1088162E+05  -0.5684931E+04  -0.5094528E+04   0.3619393E+04   0.1227889E+05
    1.4000   0.1398144E+01  -0.5454875E+00  -0.5439418E+00   0.4065410E+00   0.1071557E+01   0.9332697E+00  -0.1820840E+01  -0.1696836E+01  -0.2385567E+00   0.2074234E+00   0.2718977E+01   0.9895974E-01   0.2153978E+00  -0.6008344E+00  -0.2339576E+01   0.1321415E+05  -0.5082331E+04  -0.5130316E+04   0.3615280E+04   0.1028098E+05
    1.6000   0.1567425E+01  -0.4461236E+00  -0.5135217E+00   0.3557754E+00   0.8066152E+00   0.1270189E+01  -0.1712890E+01  -0.1634198E+01  -0.3657238E+00  -0.1904247E+00   0.1676162E+01   0.6199353E+00   0.6375040E+00  -0.1190335E+01  -0.2792020E+01   0.1470841E+05  -0.4094057E+04  -0.4863353E+04   0.3205441E+04   0.7814342E+04
